latitud;longitud;nombre;;direccion
3.26217;-76.53915;GRUPO SUPERMOTOS S.A.S.;;Calle 12 No. 7-56
3.39793;-76.54084;DAVAPAR S.A.S.;;Carrera 66 No. 10A-56
3.45364;-76.5503;SIMOTOS S.A.S.;;AV. 4 OESTE # 7 - 135
3.89537;-76.30467;TKD GRUPO EMPRESARIAL S.A.S.;;Calle 1 No. 11-58
4.75205;-75.91636;ALMACEN DEL GAS;;Carrera 5 No. 14-71
3.52441;-76.292;MOTORED DE COLOMBIA S.A.S.;;Calle 28 No. 28-18
3.52589;-76.29867;GRUPO SUPERMOTOS S.A.S.;;Calle 29 No. 27-43
4.74703;-75.91744;MACESAMOTOS S.A.S.;;Carrera 7 Calle 15 Esq.
4.53241;-76.10671;MACESAMOTOS S.A.S.;;Calle 14 No. 12-80
3.26273;-76.53969;MAYUYI MOTOS S.A.S.;;Calle 12 No 10-40
3.4224;-76.48285;MOTOAMIGA;;Carrera 27 No. 80-27
3.41397;-76.34681;HASBACK SAS - MAZZA STORE MOTORS S.A.S.;;Carrera 7 No. 9-22 Local 2
3.45398;-76.50902;MAZZA STORE MOTORS S.A.S.;;Carrera 8 # 35 - 20
3.4563;-76.53578;HASBACK SAS - MAZZA STORE MOTORS S.A.S.;;Calle 70N No. 4AN-59
3.42034;-76.50669;HASBACK SAS - MAZZA STORE MOTORS S.A.S.;;Calle 36 No. 34-45
3.41891;-76.24344;HASBACK SAS - MAZZA STORE MOTORS S.A.S.;;Calle 8 No. 10-46
3.26273;-76.53969;SUKIMOTO S.A.;;Calle 12 No. 10-40
3.31972;-76.22747;HASBACK SAS - MAZZA STORE MOTORS S.A.S.;;Carrera 7 No. 7-47
4.52514;-76.1045;SUKY MOTO S.A.;;CARRERA 13 # 14-39
3.43402;-76.52645;MOTORED DE COLOMBIA S.A.S.;;CC UNICO Local 902
3.43305;-76.53873;MOTORED DE COLOMBIA S.A.S.;;Calle 6 No. 27-19
3.46961;-76.50102;SUZUKI MOTOR DE COLOMBIA S.A.  ;;Calle 52 No. 3-29 Local 901
3.41911;-76.49737;CREDITOS FORTALECHE - PRINCIPAL;;Carrera 29 #44 - 38 piso 1
3.47251;-76.49237;SUKIOCCIDENTE ;;Carrera 1 # 33 - 17
3.43004;-76.51728;SIMOTOS S.A.S.;;Carrera 27 No. 75-26
3.43627;-76.51331;SIMOTOS S.A.S.;;Carrera 23 No. 28-68
3.44517;-76.48709;SUKIPARTES S.A.S.;;Carrera 15 No. 11-62
3.42952;-76.5316;SIMOTOS S.A.S.;;Carrera 23 DG No. 22-90
4.26285;-75.93488;SUKY MOTO S.A.;;Carrera 51 No. 48A-45
3.47172;-76.521;SU MOTO DEL CAFÉ S.A.;;Av 3 norte #40-166
3.46961;-76.50102;SU MOTO DEL CAFÉ S.A.;;Calle 52 No. 3-29
3.41107;-76.52882;SU MOTO DEL CAFÉ S.A.;;Carrera 46 No. 46-12
3.4088;-76.51714;SU MOTO DEL CAFÉ S.A.;;Carrera 46 No. 37-69
3.37611;-76.54441;SU MOTO DEL CAFÉ S.A.;;Carrera 94 No. 4D-07
4.26878;-75.92955;SUKY MOTO S.A.;;Carrera 50 No. 48-45
3.39835;-76.54072;SUKIMOTO S.A.;;Carrera 66 No. 10A-83
3.43294;-76.53874;SUKIMOTO S.A.;;Avenida Roosevelt No. 27-41
3.52774;-76.30428;SUMOTO S.A.;;Calle 30 No. 33-80 Esquina
3.42;-76.50796;SUKIPARTES S.A.S.;;Calle 36 No. 35-86
4.53156;-76.10194;SUKY MOTO S.A.;;CARRERA 13 # 14-05
3.43077;-76.52657;SUKY MOTO S.A.;;Calle 16 No. 24-49
4.41509;-76.15217;SUKY MOTO S.A.;;Calle 9 No. 2-02
4.41695;-76.15158;SUKY MOTO S.A.;;Calle 9 No. 2A-39
4.41509;-76.15217;SUKY MOTO S.A.;;Calle 9 No. 4-19
4.39476;-76.07246;ELECTROJAPONESA S.A. - CO 210;;Calle 9 No. 10-16
4.08688;-76.20069;ALMACEN DEL GAS;;Calle 25 No. 21-40
4.39761;-76.07099;SUKY MOTO S.A.;;Carrera 11 No. 8-85
3.40336;-76.5125;SUMOTO S.A.;;Carrera 46 No. 45-44
3.39836;-76.54106;SUMOTO S.A.;;Carrera 66 No. 10A-35
4.09029;-76.21821;ELECTROJAPONESA S.A. - CO 211;;Carrera 24 No. 25-60
3.53215;-76.29815;SUMOTO S.A.;;Carrera 28 Calle 28 Esquina
3.52612;-76.29811;GRUPO UMA PALMIRA;;Carrera 28 No. 27-30
3.23209;-76.40986;CREDITOS FORTALECHE ;;Calle 17 No. 17-18 Piso 2 MERCA PAVA
3.40738;-76.34881;ELECTRAMOTORS;;MANZANA 25 L04
4.3965;-76.07057;TULUA MOTOS S.A.;;Carrera 10 No. 7-49
3.89432;-76.29769;TULUA MOTOS S.A.;;Carrera 8 No. 6-74
3.89432;-76.29769;TULUA MOTOS S.A.;;Carrera 8 No. 6-04
4.41575;-76.15267;TULUA MOTOS S.A.;;Carrera 8 No. 7-39
3.4875;-76.50222;TULUA MOTOS S.A.;;Calle 70 No. 4N-99 Cerca a la 14 de Calima
4.09828;-76.20582;TULUA MOTOS S.A.;;Carrera 30 No. 21-29
4.39761;-76.07099;VALLE MOTOS S.A;;Carrera 11 No. 8-66
